,Parametro,Prob,,
4591,TEXCOCO,9.73E-05,,
1126,MAR ADRIATICO,9.73E-05,,
821,RIO RHIN,9.73E-05,,
565,AVENIDA 506,9.73E-05,,
13343,CIRCUITO MARIO DE LA CUEVA,9.73E-05,,
5849,AV. DEL CASTILLO,9.73E-05,,
9981,AV. PLUTARCO ELIAS CALLES,9.73E-05,,
3334,CALLE 47,9.73E-05,,
827,LOS REYES,9.73E-05,,
3309,JOSE MARIA IGLESIAS,9.73E-05,,
3294,HORTENCIA,9.73E-05,,
15688,PALMIRA,9.73E-05,,
7020,MANUEL CABALLERO,9.73E-05,,
413,AV. PROGRESO,9.73E-05,,
1844,EXCELSIOR,9.73E-05,,
3250,SENTIMIENTOS DE LA NACION,9.73E-05,,
7031,RAFAEL MARTINEZ,9.73E-05,,
8231,7,9.73E-05,,
4663,PONIENTE 140,9.73E-05,,
14199,ATOTONILCO,9.73E-05,,
5857,PROLONGACION CANAL DE MIRAMONTES,9.73E-05,,
428,AV. HENRY FORD,9.73E-05,,
14001,AV. VICTOR HUGO,9.73E-05,,
6024,LITOGRAFIA,9.73E-05,,
3565,PINOS,9.73E-05,,
4383,CUCURPE,9.73E-05,,
1631,EMILIO CASTELAR,9.73E-05,,
5986,ABRAHAM GONZALEZ,9.73E-05,,
1655,AHUEJOTES,9.73E-05,,
6440,CAMPO VERDE,9.73E-05,,
1103,AV. TEZOZOMOC,9.73E-05,,
1782,AVENIDA LUIS CABRERA,9.73E-05,,
4433,JOSE MORAN,9.73E-05,,
6995,VALLARTA,9.73E-05,,
4460,RIACHUELO SERPENTINO,9.73E-05,,
109,VULCANIZACION,9.73E-05,,
1700,JOSE DEL RIO,9.73E-05,,
1702,PLAYA TECOLUTLA,9.73E-05,,
3410,FRANCISCO GOITIA,9.73E-05,,
1925,AV. RIO CONSULADO,9.73E-05,,
6494,REPUBLICA DE CHILE,9.73E-05,,
7704,CASTULO GARCIA,9.73E-05,,
11919,CTO. INT. (AV. RIO CONSULADO),9.73E-05,,
5448,ROSA,9.73E-05,,
4964,AVENIDA MEXICO COYOACAN,9.73E-05,,
2808,BOULEVARD NUEVO LEON,9.73E-05,,
12008,AZALEA,9.73E-05,,
2315,REFORMA POLITICA,9.73E-05,,
9238,CHICOASEN,9.73E-05,,
5364,MANUEL SALAZAR,9.73E-05,,
5313,REPUBLICA DE BOLIVIA,9.73E-05,,
5475,JOSE T. CUELLAR,9.73E-05,,
2662,AV. CONGRESO DE LA UNION,9.73E-05,,
5266,VIRGINIA,9.73E-05,,
5258,AVENIDA PROLONGACION DIVISION DEL NORTE,9.73E-05,,
2504,PROLONGACION BUENAVISTA,9.73E-05,,
5145,AVENIDA 661,9.73E-05,,
6565,AV. EMILIO CARRANZA,9.73E-05,,
9417,EJE SEIS SUR,9.73E-05,,
992,SUR 175,9.73E-05,,
4947,NAPOLES,9.73E-05,,
3083,AVENIDA SAN PABLO,9.73E-05,,
200,AVENIDA PARQUE LIRA,9.73E-05,,
15848,AVENIDA CANAL DE CHALCO,9.73E-05,,
3053,PLAYA ROQUETA,9.73E-05,,
4798,ORIENTE 164,9.73E-05,,
3030,AUTOPISTA MEXICO PUEBLA,9.73E-05,,
5622,ANGEL ALBINO CORZO,9.73E-05,,
579,AV EDUARDO MOLINA,9.73E-05,,
9030,PUERTO SAN BLAS,9.73E-05,,
9038,YUNQUE,9.73E-05,,
19780,ESCUINAPA,9.73E-05,,
6522,AGRICULTURA,9.73E-05,,
2912,CALLE 43,9.73E-05,,
1007,AV. EMILIANO ZAPATA,9.73E-05,,
7569,CALLAO,9.73E-05,,
7077,TARASCO,9.73E-05,,
5525,BAHIA DEL ESPIRITU SANTO,9.73E-05,,
2893,ANTONIO SOLIS,9.73E-05,,
81,AV. SAN FERNANDO,9.73E-05,,
953,MARTIRES DE LA CONQUISTA,9.73E-05,,
7317,BOKOBA,9.73E-05,,
10465,SUR 165,9.73E-05,,
1479,RIO GUADALUPE,9.73E-05,,
1260,TERCER ANILLO DE CIRCUNVALACION,9.73E-05,,
10338,CANCUN,9.73E-05,,
63,IGNACIO COMONFORT,9.73E-05,,
7347,TALPA,9.73E-05,,
1343,VIAD. RIO DE LA PIEDAD,9.73E-05,,
3876,AV. FELIX CUEVAS,9.73E-05,,
3881,ALFONSO HERRERA,9.73E-05,,
4231,PARIS,9.73E-05,,
4221,LIRIOS,9.73E-05,,
6929,ARBOLEDAS,9.73E-05,,
1143,PONIENTE 152,9.73E-05,,
22,CALLE 36,9.73E-05,,
3928,CAHITAS,9.73E-05,,
4051,CERRO DE JESUS,9.73E-05,,
3745,CICALCO,9.73E-05,,
4058,CAMINO CAMPESTRE,9.73E-05,,
8547,DR. ARCE,9.73E-05,,
8525,LEIBNITZ,9.73E-05,,
675,BLVD. MIGUEL DE CERVANTES SAAVEDRA,9.73E-05,,
7841,HUICHAPAN,9.73E-05,,
3973,AV RIO CHURUBUSCO,9.73E-05,,
4327,XOCHIAPAN,9.73E-05,,
4336,COYUCA,9.73E-05,,
1484,CRISANTEMO,9.73E-05,,
4128,TALABARTEROS,9.73E-05,,
6059,NORTE,9.73E-05,,
12703,ALUMNOS,9.73E-05,,
3962,REPUBLICA DE HONDURAS,9.73E-05,,
6390,AHORRO POSTAL,9.73E-05,,
7197,A/010/2002,9.16E-05,,
704,NORTE 80,9.16E-05,,
15919,BOULEVAR PUERTO AEREO,9.16E-05,,
12963,HEROES DE NACOZARI,9.16E-05,,
7074,PAGANINI,9.16E-05,,
2898,PUERTO RICO,9.16E-05,,
7418,LECUMBERRI,9.16E-05,,
10367,XOCHIQUETZAL,9.16E-05,,
376,TENOSIQUE,9.16E-05,,
186,OSO,9.16E-05,,
889,PIPILA,9.16E-05,,
10413,AQUILES ELORDUY,9.16E-05,,
5605,FRANCISCO TAMAGNO,9.16E-05,,
14876,NORTE 35,9.16E-05,,
14871,AV. SONORA,9.16E-05,,
3021,IRAPUATO,9.16E-05,,
2115,AVENIDA DOLORES HIDALGO,9.16E-05,,
2931,FRANCISCO SOSA,9.16E-05,,
6304,NOCHEBUENA,9.16E-05,,
7803,12 DE OCTUBRE,9.16E-05,,
11437,SAN MIGUEL EL ALTO,9.16E-05,,
1289,AV. DEL TRABAJO,9.16E-05,,
