,Parametro,Prob
16,12,0.07982257833738732
14,15,0.05841178995564458
8,14,0.05838889683788811
17,20,0.0583259407640578
7,10,0.056488768064100726
15,13,0.054697381599656605
20,16,0.0546344255258263
11,11,0.054193733009014165
13,18,0.05401631134640149
12,19,0.05294605809128631
21,21,0.05227071111747031
22,17,0.05061668335956503
0,22,0.04524824724567177
10,9,0.0445500071540993
18,8,0.03914150808413221
23,23,0.03480898554871942
5,7,0.03230791243382458
4,6,0.023780226069537846
1,0,0.019939905565889253
2,1,0.018085563027614823
9,5,0.015887823722993275
19,2,0.014932036056660467
3,3,0.014107883817427386
6,4,0.01239662326513092
